city,state,pm2_5_mean,pm2_5_p95,pm10_mean,no2_mean,so2_mean,co_mean,ozone_max_mean,aqi_mean,temp_mean,precip_total,wind_mean,days,unhealthy_day_share,county,latitude,longitude,region,uninsured,high_bp,asthma,heart_disease,copd,smoking,depression,diabetes,inactivity,obesity,population,asthma_level,pm_level
Albuquerque,NM,7.367237442922374,14.125833333333334,11.419121004566211,10.029954337899543,1.4233675799086758,186.32043378995434,109.55342465753425,61.71506849315068,14.872602739726027,284.5,21.314520547945207,365,0.0410958904109589,Bernalillo,35.08,-106.65,West,14.0,33.5,9.7,6.5,5.6,12.0,24.6,11.6,23.2,33.0,671586.0,Low,Low
Anchorage,AK,5.8684018264840185,13.604166666666666,8.560399543378995,10.053869863013698,0.8085958904109589,181.3368721461187,67.7041095890411,39.298630136986304,2.5956164383561644,1011.3,13.288493150684932,365,0.0,Anchorage,61.22,-149.9,West,9.5,31.5,10.7,5.1,5.3,14.0,21.3,8.9,19.8,35.0,286075.0,High,Low
Atlanta,GA,12.570502283105023,23.657500000000002,18.301849315068495,12.989349315068493,2.895787671232877,252.57351598173514,109.51506849315068,72.92328767123287,17.096712328767122,1412.2,18.44630136986301,365,0.17534246575342466,Fulton,33.75,-84.39,South,10.1,33.4,9.4,4.6,4.5,9.9,16.9,10.9,20.0,28.2,1079105.0,Low,High
Austin,TX,8.568755707762557,15.995833333333334,13.099075342465754,6.604086757990868,1.2104223744292237,176.5425799086758,96.47945205479452,55.00547945205479,21.73890410958904,1032.7,20.807945205479452,365,0.03287671232876712,Travis,30.27,-97.74,South,13.9,26.6,9.2,4.1,4.0,9.5,22.1,9.0,19.9,30.4,1334961.0,Low,Low
Bakersfield,CA,10.858687214611871,17.215833333333336,25.087294520547943,20.146769406392693,1.6348858447488586,243.68755707762557,104.4958904109589,68.89041095890411,19.764383561643836,459.2,15.65095890410959,365,0.13150684931506848,Kern,35.37,-119.02,West,16.7,32.0,10.3,6.2,6.4,14.6,22.8,13.3,31.9,36.0,913820.0,High,Medium
Birmingham,AL,11.732054794520547,22.905,17.041792237442923,17.0723401826484,5.601769406392694,241.08070776255707,109.24109589041096,67.96438356164384,17.946027397260274,1283.9,16.793972602739725,365,0.14794520547945206,Jefferson,33.52,-86.81,South,9.1,42.7,9.9,6.6,6.9,13.7,22.7,15.1,28.0,37.4,662895.0,Low,High
Boise,ID,7.188641552511415,13.842500000000001,10.817043378995434,5.8653881278538815,0.8708447488584475,179.19383561643835,99.46575342465754,50.912328767123284,11.810684931506849,388.6,19.10219178082192,365,0.0027397260273972603,Ada,43.62,-116.2,West,8.5,31.2,10.3,5.4,5.3,10.4,25.0,9.0,18.4,29.0,524673.0,High,Low
Boston,MA,11.529988584474886,21.960833333333333,16.943253424657534,20.461221461187215,2.794292237442922,259.11940639269403,87.41095890410959,62.446575342465756,11.335890410958905,1425.5,19.766575342465753,365,0.057534246575342465,Suffolk,42.36,-71.06,Northeast,6.6,27.4,11.4,4.8,5.1,11.1,23.2,9.3,23.8,24.2,768425.0,High,High
Boulder,CO,8.790034246575344,15.9625,13.061118721461188,15.030022831050227,1.578892694063927,197.76826484018267,110.9068493150685,61.556164383561644,8.444383561643836,602.0,15.147945205479452,365,0.043835616438356165,Boulder,40.01,-105.27,West,7.8,21.9,10.3,4.8,4.7,8.8,23.3,7.1,12.1,16.7,326831.0,High,Low
Charlotte,NC,12.383059360730593,23.32916666666667,17.965719178082193,12.854452054794521,3.6036415525114154,254.85890410958905,108.33424657534246,71.42191780821918,16.526575342465755,1088.3,16.494246575342466,365,0.1643835616438356,Mecklenburg,35.23,-80.84,South,10.1,31.0,10.4,4.8,5.0,10.8,22.7,10.1,20.9,29.7,1163701.0,High,High
