state,county,locationid,uninsured,high_bp,asthma,heart_disease,copd,smoking,depression,diabetes,inactivity,obesity,population,lon,lat,region
AK,Aleutians East,02013,15.7,33.2,7.8,5.5,5.0,17.0,12.3,12.8,28.7,30.7,3461.0,-161.964571410747,55.359979555826,West
AK,Aleutians West,02016,13.0,30.7,7.8,4.5,4.3,16.2,13.3,10.8,25.2,31.9,5160.0,-110.244912258458,52.7943036111183,West
AK,Anchorage,02020,9.5,31.5,10.7,5.1,5.3,14.0,21.3,8.9,19.8,35.0,286075.0,-149.112545841578,61.150482370682,West
AK,Bethel,02050,15.9,37.5,13.6,7.7,9.9,31.0,21.0,13.8,33.3,39.1,18224.0,-159.82324096097,60.9128860869079,West
AK,Bristol Bay,02060,9.7,36.3,11.0,7.6,7.1,16.5,18.8,11.3,22.2,34.9,844.0,-156.700132487576,58.7440261738219,West
AK,Chugach,02063,8.8,33.4,10.0,6.2,6.3,14.8,18.4,9.6,20.9,31.1,6769.0,-145.846670254475,60.7148095406379,West
AK,Copper River,02066,9.5,38.3,10.7,8.0,8.0,17.8,19.8,11.4,23.2,33.6,2674.0,-143.967989524598,61.8833837156363,West
AK,Denali,02068,9.3,32.0,9.9,5.6,5.9,16.3,19.5,8.6,20.9,31.3,1584.0,-150.011615254067,63.6714884543977,West
AK,Dillingham,02070,13.3,34.4,12.7,7.4,8.6,25.7,20.1,13.0,29.1,38.5,4607.0,-158.236178154164,59.7978171220014,West
AK,Fairbanks North Star,02090,9.9,30.3,10.0,4.8,4.9,13.8,20.5,7.9,21.2,35.3,94840.0,-146.565627734256,64.8075316814407,West
AK,Haines,02100,7.7,38.5,10.1,7.6,7.2,13.8,18.8,10.8,20.1,34.0,2070.0,-135.500167586106,59.119335495324,West
AK,Hoonah-Angoon,02105,10.2,42.8,11.3,9.6,9.4,19.5,18.5,14.8,26.6,37.1,2262.0,-135.641352469501,58.2866674624936,West
AK,Juneau,02110,8.5,32.4,10.2,5.7,5.9,13.9,21.0,8.9,17.5,35.0,31555.0,-134.172902838081,58.4491350384727,West
AK,Kenai Peninsula,02122,9.9,35.4,10.3,7.0,7.3,16.1,19.7,9.8,21.5,32.3,61223.0,-151.5538621838,60.2599690239553,West
AK,Ketchikan Gateway,02130,9.5,34.8,10.3,6.4,6.6,15.9,18.9,10.1,21.9,37.7,13738.0,-130.936350933263,55.586579401666,West
AK,Kodiak Island,02150,10.5,31.0,9.3,5.4,5.5,15.0,17.2,9.8,22.7,31.5,12565.0,-153.789812278338,57.6808874751479,West
AK,Kusilvak,02158,18.1,38.5,14.7,8.5,11.6,36.6,23.5,16.5,37.0,46.5,8001.0,-163.385871730467,62.1566155670538,West
AK,Lake and Peninsula,02164,12.1,38.2,12.5,8.2,9.1,24.7,20.0,14.6,29.4,39.4,1331.0,-156.194112811655,58.6489291768631,West
AK,Matanuska-Susitna,02170,9.7,32.0,10.7,6.0,6.7,17.3,21.9,9.0,22.7,37.5,115239.0,-149.573459107234,62.3154231338699,West
