city,state,county,latitude,longitude
New York,NY,New York,40.71,-74.01
Los Angeles,CA,Los Angeles,34.05,-118.24
Chicago,IL,Cook,41.88,-87.63
Houston,TX,Harris,29.76,-95.37
Phoenix,AZ,Maricopa,33.45,-112.07
Philadelphia,PA,Philadelphia,39.95,-75.17
San Antonio,TX,Bexar,29.42,-98.49
San Diego,CA,San Diego,32.72,-117.16
Dallas,TX,Dallas,32.78,-96.8
San Jose,CA,Santa Clara,37.34,-121.89
Austin,TX,Travis,30.27,-97.74
Jacksonville,FL,Duval,30.33,-81.66
Columbus,OH,Franklin,39.96,-83.0
Charlotte,NC,Mecklenburg,35.23,-80.84
Indianapolis,IN,Marion,39.77,-86.16
San Francisco,CA,San Francisco,37.77,-122.42
Seattle,WA,King,47.61,-122.33
Denver,CO,Denver,39.74,-104.99
Washington,DC,District of Columbia,38.91,-77.04
Boston,MA,Suffolk,42.36,-71.06
El Paso,TX,El Paso,31.76,-106.49
Nashville,TN,Davidson,36.16,-86.78
Detroit,MI,Wayne,42.33,-83.05
Oklahoma City,OK,Oklahoma,35.47,-97.52
Portland,OR,Multnomah,45.52,-122.68
Las Vegas,NV,Clark,36.17,-115.14
Memphis,TN,Shelby,35.15,-90.05
Louisville,KY,Jefferson,38.25,-85.76
Baltimore,MD,Baltimore City,39.29,-76.61
Milwaukee,WI,Milwaukee,43.04,-87.91
Albuquerque,NM,Bernalillo,35.08,-106.65
Tucson,AZ,Pima,32.22,-110.97
Fresno,CA,Fresno,36.74,-119.79
Sacramento,CA,Sacramento,38.58,-121.49
Kansas City,MO,Jackson,39.1,-94.58
Atlanta,GA,Fulton,33.75,-84.39
Omaha,NE,Douglas,41.26,-95.94
Colorado Springs,CO,El Paso,38.83,-104.82
Raleigh,NC,Wake,35.78,-78.64
Miami,FL,Miami-Dade,25.76,-80.19
Minneapolis,MN,Hennepin,44.98,-93.27
Tampa,FL,Hillsborough,27.95,-82.46
New Orleans,LA,Orleans,29.95,-90.07
Cleveland,OH,Cuyahoga,41.5,-81.69
Pittsburgh,PA,Allegheny,40.44,-79.99
Salt Lake City,UT,Salt Lake,40.76,-111.89
Cincinnati,OH,Hamilton,39.1,-84.51
St. Louis,MO,St. Louis City,38.63,-90.2
Riverside,CA,Riverside,33.95,-117.4
Bakersfield,CA,Kern,35.37,-119.02
Boise,ID,Ada,43.62,-116.2
Boulder,CO,Boulder,40.01,-105.27
Honolulu,HI,Honolulu,21.31,-157.86
Anchorage,AK,Anchorage,61.22,-149.9
Birmingham,AL,Jefferson,33.52,-86.81
