city,state,time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,shortwave_radiation_sum
New York,NY,2023-01-01,9.0,12.0,5.0,2.1,17.4,8.02
New York,NY,2023-01-02,7.9,12.9,4.6,0.5,9.0,6.03
New York,NY,2023-01-03,9.5,12.9,6.3,9.5,19.4,1.45
New York,NY,2023-01-04,13.1,18.0,9.6,2.3,18.2,6.6
New York,NY,2023-01-05,10.0,13.2,7.5,0.0,12.1,4.19
New York,NY,2023-01-06,6.2,8.7,3.3,9.6,16.3,3.97
New York,NY,2023-01-07,3.7,8.3,0.5,0.0,20.2,6.81
New York,NY,2023-01-08,1.4,4.3,-2.3,0.0,13.7,8.83
New York,NY,2023-01-09,3.1,7.3,0.8,1.5,17.9,8.08
New York,NY,2023-01-10,2.7,6.3,0.1,0.0,14.6,5.39
New York,NY,2023-01-11,1.0,3.9,-1.2,0.0,13.8,6.6
New York,NY,2023-01-12,5.3,9.8,-0.6,11.9,21.0,1.88
New York,NY,2023-01-13,9.3,12.7,3.1,1.6,27.1,3.83
New York,NY,2023-01-14,1.0,2.9,-0.5,0.0,26.3,2.25
New York,NY,2023-01-15,0.7,5.2,-1.7,0.0,33.8,9.62
New York,NY,2023-01-16,1.6,8.2,-2.4,0.0,26.3,9.98
New York,NY,2023-01-17,2.5,7.5,-2.0,1.4,13.3,5.61
New York,NY,2023-01-18,6.7,10.8,3.0,1.7,25.5,7.43
New York,NY,2023-01-19,4.0,5.7,2.4,23.5,16.3,1.35
New York,NY,2023-01-20,5.4,9.0,1.9,0.6,30.7,6.52
New York,NY,2023-01-21,2.8,6.2,-1.9,0.2,19.9,7.74
New York,NY,2023-01-22,1.4,5.6,-3.4,5.4,15.8,5.51
New York,NY,2023-01-23,2.5,3.1,1.3,16.9,25.0,2.19
New York,NY,2023-01-24,2.3,7.8,-1.1,0.0,27.7,10.28
New York,NY,2023-01-25,2.2,10.6,-2.4,20.0,44.7,2.25
New York,NY,2023-01-26,7.5,11.9,3.0,14.5,36.0,9.62
New York,NY,2023-01-27,2.2,6.2,-1.6,0.0,19.2,9.36
New York,NY,2023-01-28,4.4,10.9,-0.8,0.0,23.8,10.31
New York,NY,2023-01-29,5.6,10.5,0.2,0.0,22.5,5.0
New York,NY,2023-01-30,6.1,11.7,2.5,0.0,13.2,9.72
New York,NY,2023-01-31,3.4,6.5,0.5,2.5,19.1,3.56
New York,NY,2023-02-01,-0.6,3.2,-3.3,1.6,16.5,11.57
New York,NY,2023-02-02,-0.2,4.1,-4.4,0.0,19.1,11.74
New York,NY,2023-02-03,-4.4,0.3,-10.7,0.0,42.2,12.65
New York,NY,2023-02-04,-9.5,-3.9,-16.5,0.0,39.8,12.72
New York,NY,2023-02-05,1.4,9.2,-4.7,0.0,19.1,9.78
New York,NY,2023-02-06,4.2,10.2,-1.0,0.0,29.2,10.76
New York,NY,2023-02-07,0.4,3.7,-4.1,2.6,21.6,10.27
New York,NY,2023-02-08,4.8,10.5,1.2,0.7,22.5,12.17
New York,NY,2023-02-09,4.7,11.2,-1.8,0.0,20.9,3.54
New York,NY,2023-02-10,11.2,14.1,6.0,0.0,28.1,12.94
New York,NY,2023-02-11,3.7,6.8,0.5,0.0,23.5,13.64
New York,NY,2023-02-12,2.8,6.9,-0.6,0.8,18.7,7.75
New York,NY,2023-02-13,6.6,13.4,2.5,1.8,23.9,13.84
New York,NY,2023-02-14,6.3,11.4,2.6,0.0,23.2,14.15
New York,NY,2023-02-15,10.2,17.0,3.1,0.0,26.9,12.3
New York,NY,2023-02-16,12.7,19.3,9.3,2.9,17.6,8.23
New York,NY,2023-02-17,9.7,15.4,0.4,8.1,33.8,3.34
New York,NY,2023-02-18,0.9,5.8,-2.7,0.0,28.9,15.05
New York,NY,2023-02-19,4.0,8.2,-0.4,0.0,29.8,8.86
New York,NY,2023-02-20,9.0,15.4,5.6,0.0,25.3,8.05
New York,NY,2023-02-21,4.4,8.4,2.0,7.1,17.8,6.0
New York,NY,2023-02-22,2.5,5.6,-0.8,4.4,15.0,6.31
New York,NY,2023-02-23,4.6,7.8,2.7,0.6,16.1,8.11
New York,NY,2023-02-24,3.9,7.5,-2.1,0.0,35.3,13.99
New York,NY,2023-02-25,-3.0,0.3,-5.6,0.7,19.8,6.13
New York,NY,2023-02-26,2.2,10.2,-3.8,0.0,34.7,13.55
New York,NY,2023-02-27,1.6,5.0,-2.2,3.8,23.7,14.34
New York,NY,2023-02-28,1.0,2.2,-0.6,13.1,24.8,2.22
New York,NY,2023-03-01,1.9,5.9,-2.5,3.4,22.0,15.02
New York,NY,2023-03-02,6.8,13.8,2.3,1.5,23.2,10.24
New York,NY,2023-03-03,3.3,7.5,-1.6,2.8,30.4,10.93
New York,NY,2023-03-04,5.4,7.2,3.3,41.8,38.4,6.27
New York,NY,2023-03-05,5.5,12.3,-0.4,0.0,27.4,14.73
New York,NY,2023-03-06,5.9,10.2,1.4,0.0,23.1,15.47
New York,NY,2023-03-07,3.7,7.5,1.2,2.7,36.3,17.76
New York,NY,2023-03-08,2.9,9.5,-2.1,0.0,34.6,17.54
New York,NY,2023-03-09,4.3,10.5,-0.5,0.0,22.3,15.22
New York,NY,2023-03-10,3.3,7.5,-1.3,7.3,16.8,9.76
New York,NY,2023-03-11,4.2,7.0,1.8,13.1,25.8,7.61
New York,NY,2023-03-12,3.4,7.9,-1.1,0.0,19.2,14.84
New York,NY,2023-03-13,4.7,5.9,3.7,16.7,20.5,2.45
New York,NY,2023-03-14,2.1,3.4,1.2,12.2,44.3,4.8
New York,NY,2023-03-15,3.3,7.1,0.9,0.0,38.7,17.78
New York,NY,2023-03-16,5.5,13.4,-1.3,0.0,19.9,18.65
New York,NY,2023-03-17,8.5,14.4,2.5,0.0,22.2,12.35
New York,NY,2023-03-18,7.6,11.1,3.1,0.7,26.1,18.3
New York,NY,2023-03-19,1.2,3.8,-2.8,0.0,27.3,20.4
New York,NY,2023-03-20,3.2,10.7,-3.3,0.0,17.8,21.11
New York,NY,2023-03-21,7.4,15.8,-1.0,0.0,20.1,21.06
New York,NY,2023-03-22,7.8,13.3,2.4,0.0,23.1,16.32
New York,NY,2023-03-23,10.7,15.0,5.3,2.8,24.5,9.04
New York,NY,2023-03-24,8.7,13.1,5.7,0.2,19.1,11.46
New York,NY,2023-03-25,5.6,7.5,3.0,11.5,31.4,3.35
New York,NY,2023-03-26,9.4,15.1,3.3,0.0,24.5,21.92
New York,NY,2023-03-27,7.8,14.9,2.6,2.6,23.7,16.57
New York,NY,2023-03-28,6.6,11.2,3.1,0.6,21.1,10.66
New York,NY,2023-03-29,5.3,11.0,-0.1,0.0,24.2,22.18
New York,NY,2023-03-30,3.3,7.6,-1.5,0.1,28.5,22.74
New York,NY,2023-03-31,6.0,10.1,-0.8,0.0,29.4,12.03
New York,NY,2023-04-01,14.9,19.7,9.6,10.1,26.7,8.56
New York,NY,2023-04-02,6.9,10.7,3.3,0.0,35.3,23.72
New York,NY,2023-04-03,7.1,13.4,-0.2,0.0,30.9,22.71
New York,NY,2023-04-04,13.3,18.7,6.0,0.0,16.8,19.42
New York,NY,2023-04-05,11.7,13.6,9.4,0.4,20.5,6.54
New York,NY,2023-04-06,16.6,26.5,10.7,3.3,18.7,16.41
New York,NY,2023-04-07,11.2,14.0,6.9,0.0,21.9,8.72
New York,NY,2023-04-08,6.1,10.4,1.8,0.0,19.9,20.94
New York,NY,2023-04-09,6.4,11.8,1.2,0.0,24.2,23.91
New York,NY,2023-04-10,9.1,17.9,2.2,0.0,18.8,24.35
New York,NY,2023-04-11,14.8,23.0,6.5,0.0,26.0,23.21
New York,NY,2023-04-12,20.5,27.5,15.6,0.0,24.1,21.36
New York,NY,2023-04-13,22.1,31.1,12.0,0.0,20.6,24.13
New York,NY,2023-04-14,22.0,29.6,13.9,0.0,19.2,23.37
New York,NY,2023-04-15,17.6,21.0,14.6,5.0,19.5,16.3
New York,NY,2023-04-16,15.8,21.0,12.3,0.0,17.7,15.83
New York,NY,2023-04-17,14.4,20.1,11.6,3.1,24.5,14.07
New York,NY,2023-04-18,11.3,14.5,7.1,0.1,36.5,19.14
New York,NY,2023-04-19,10.4,17.5,4.3,0.0,24.5,22.28
New York,NY,2023-04-20,10.5,15.9,5.8,0.0,16.2,23.66
New York,NY,2023-04-21,13.1,19.1,8.2,0.0,23.9,24.8
New York,NY,2023-04-22,14.3,19.8,9.9,15.7,30.5,20.13
New York,NY,2023-04-23,14.6,19.2,11.3,18.4,20.6,15.62
New York,NY,2023-04-24,11.2,16.2,6.3,0.0,19.1,23.3
New York,NY,2023-04-25,10.4,15.2,5.6,0.3,13.2,20.71
New York,NY,2023-04-26,10.0,13.9,6.2,0.9,22.1,18.35
New York,NY,2023-04-27,10.6,13.5,7.4,0.7,16.8,15.64
New York,NY,2023-04-28,9.8,13.1,6.8,6.1,23.3,9.23
New York,NY,2023-04-29,10.7,12.3,8.8,59.5,30.7,3.99
New York,NY,2023-04-30,12.8,14.9,10.5,22.2,27.5,5.26
New York,NY,2023-05-01,12.6,15.7,7.6,1.8,38.6,22.51
New York,NY,2023-05-02,10.4,13.5,8.4,0.8,26.9,17.67
New York,NY,2023-05-03,9.5,12.6,5.8,0.7,14.8,17.95
New York,NY,2023-05-04,10.2,14.5,6.4,1.7,16.3,17.13
New York,NY,2023-05-05,11.6,17.2,6.9,3.5,11.9,22.17
New York,NY,2023-05-06,14.2,21.1,6.6,0.0,19.0,22.8
New York,NY,2023-05-07,16.4,23.8,9.3,0.0,22.1,26.27
New York,NY,2023-05-08,18.2,23.7,12.9,0.0,21.2,26.13
New York,NY,2023-05-09,14.1,19.3,9.8,0.0,21.7,23.19
New York,NY,2023-05-10,14.3,21.2,7.2,0.0,19.8,28.45
New York,NY,2023-05-11,17.8,25.4,9.6,0.0,21.7,27.99
New York,NY,2023-05-12,21.1,29.6,13.0,0.0,15.3,24.4
New York,NY,2023-05-13,22.0,27.4,17.6,0.0,19.7,15.57
New York,NY,2023-05-14,17.6,22.9,12.6,0.0,22.0,28.2
New York,NY,2023-05-15,17.5,25.4,9.7,0.0,18.7,29.52
New York,NY,2023-05-16,20.3,27.8,12.8,0.0,24.9,27.75
New York,NY,2023-05-17,15.1,18.8,10.7,0.0,26.4,29.49
New York,NY,2023-05-18,11.1,14.3,6.9,0.0,22.1,29.56
New York,NY,2023-05-19,14.9,19.6,10.5,0.0,33.0,22.71
New York,NY,2023-05-20,15.8,17.6,13.6,26.9,15.9,5.78
New York,NY,2023-05-21,17.3,21.9,13.0,0.6,23.0,19.59
New York,NY,2023-05-22,16.9,23.0,12.3,0.2,20.6,23.94
New York,NY,2023-05-23,14.5,19.5,11.1,0.0,21.5,27.35
New York,NY,2023-05-24,15.6,21.9,9.9,0.7,25.0,26.49
New York,NY,2023-05-25,14.7,19.2,10.1,0.0,25.9,29.74
New York,NY,2023-05-26,16.1,22.3,10.1,0.0,15.3,29.75
New York,NY,2023-05-27,17.2,24.4,9.9,0.0,20.1,29.18
New York,NY,2023-05-28,17.7,23.7,11.7,0.0,19.9,28.98
New York,NY,2023-05-29,18.5,24.7,13.8,0.0,28.5,28.91
New York,NY,2023-05-30,15.6,20.4,11.8,0.0,18.6,29.84
New York,NY,2023-05-31,16.1,22.6,10.8,0.0,15.3,29.9
New York,NY,2023-06-01,19.5,27.4,12.3,0.0,17.4,29.24
New York,NY,2023-06-02,22.3,30.8,15.2,0.0,17.1,27.11
New York,NY,2023-06-03,18.4,20.2,14.1,3.5,22.3,12.57
New York,NY,2023-06-04,15.5,21.5,10.5,0.1,25.0,17.81
New York,NY,2023-06-05,17.8,24.0,11.6,0.0,21.5,18.57
New York,NY,2023-06-06,19.6,25.8,14.6,0.2,33.9,25.94
New York,NY,2023-06-07,18.8,25.1,13.3,0.0,21.3,29.08
New York,NY,2023-06-08,16.8,22.4,10.7,0.0,19.2,25.0
New York,NY,2023-06-09,16.9,22.9,11.7,0.9,20.0,22.83
New York,NY,2023-06-10,19.1,26.4,12.3,0.2,18.1,25.29
New York,NY,2023-06-11,21.3,27.2,16.4,0.0,18.6,21.62
New York,NY,2023-06-12,21.0,24.0,19.3,8.5,27.0,16.79
New York,NY,2023-06-13,21.0,26.4,16.2,0.0,21.6,26.07
New York,NY,2023-06-14,18.5,24.7,14.9,9.5,24.1,16.91
New York,NY,2023-06-15,20.4,26.2,15.0,0.0,20.4,21.96
